ID,Age,Partial Discharge,Visual Condition,Natural Corrosion,Loading,Health Index
2432,37,0.43,Poor,0.83,559,3
2433,35,0.36,Poor,0.76,188,3
2434,51,0.95,Poor,1,568,1
2435,29,0.24,Poor,0.73,586,3
2436,20,0.1,Medium,0.56,539,4
2437,52,0.96,Poor,0.97,418,1
2438,34,0.34,Poor,0.77,619,3
2439,15,0.05,Good,0.46,362,5
2440,51,0.89,Poor,0.96,65,1
2441,36,0.42,Poor,0.75,493,3
2442,15,0.05,Good,0.43,214,5
2443,24,0.16,Medium,0.58,572,4
2444,30,0.25,Medium,0.67,206,4
2445,23,0.13,Medium,0.63,351,4
2446,51,0.91,Poor,1,288,1
2447,32,0.29,Poor,0.7,453,3
2448,20,0.1,Medium,0.54,299,4
2449,30,0.24,Poor,0.7,561,3
2450,17,0.07,Good,0.51,419,5
2451,30,0.25,Poor,0.73,413,3
2452,51,0.89,Poor,0.91,253,1
2453,25,0.17,Medium,0.64,360,4
2454,47,0.75,Poor,0.98,538,2
2455,23,0.13,Medium,0.62,65,4
2456,39,0.51,Poor,0.77,211,2
2457,42,0.6,Poor,0.85,621,2
2458,17,0.07,Good,0.49,252,5
2459,19,0.09,Medium,0.51,451,4
2460,41,0.53,Poor,0.88,250,3
2461,15,0.05,Good,0.44,277,5
2462,50,0.88,Poor,0.98,178,1
2463,15,0.05,Good,0.49,514,5
2464,42,0.6,Poor,0.86,235,2
2465,51,0.95,Poor,0.99,111,1
2466,32,0.31,Poor,0.72,105,3
2467,20,0.09,Medium,0.55,379,4
2468,18,0.08,Medium,0.52,545,4
2469,17,0.07,Good,0.49,343,5
2470,15,0.05,Good,0.45,327,5
2471,37,0.44,Poor,0.77,164,3
2472,38,0.46,Poor,0.83,285,3
2473,49,0.88,Poor,0.96,180,1
2474,18,0.07,Medium,0.53,630,4
2475,17,0.06,Good,0.52,233,5
2476,50,0.92,Poor,0.97,504,1
2477,34,0.35,Poor,0.74,613,3
2478,31,0.28,Poor,0.7,452,3
2479,51,0.94,Poor,0.96,191,1
2480,33,0.32,Poor,0.71,267,3
2481,51,0.91,Poor,0.97,396,1
2482,20,0.09,Medium,0.55,165,4
2483,52,0.94,Poor,0.96,121,1
2484,27,0.19,Medium,0.7,578,4
2485,15,0.05,Good,0.46,489,5
2486,16,0.06,Good,0.45,268,5
2487,51,0.93,Poor,0.92,581,1
2488,36,0.41,Poor,0.81,354,3
2489,28,0.23,Medium,0.65,479,4
2490,17,0.06,Medium,0.53,89,4
2491,50,0.9,Poor,0.98,418,1
2492,51,0.91,Poor,0.94,198,1
2493,25,0.17,Medium,0.6,195,4
2494,51,0.92,Poor,1,138,1
2495,15,0.05,Good,0.46,340,5
2496,19,0.09,Medium,0.54,274,4
2497,45,0.65,Poor,0.93,293,2
2498,15,0.05,Good,0.48,280,5
2499,51,0.92,Poor,0.99,413,1
2500,16,0.05,Good,0.49,544,5
